data_richiesta;NUM
01/03/2020;139
02/03/2020;142
03/03/2020;224
04/03/2020;190
05/03/2020;275
06/03/2020;296
07/03/2020;292
08/03/2020;430
09/03/2020;443
10/03/2020;425
11/03/2020;545
12/03/2020;614
13/03/2020;627
14/03/2020;387
15/03/2020;283
16/03/2020;499
17/03/2020;555
18/03/2020;612
19/03/2020;656
20/03/2020;1021
21/03/2020;458
22/03/2020;268
23/03/2020;879
24/03/2020;898
25/03/2020;856
26/03/2020;768
27/03/2020;837
28/03/2020;414
29/03/2020;303
30/03/2020;864
31/03/2020;884
01/04/2020;726
02/04/2020;691
03/04/2020;773
04/04/2020;478
05/04/2020;278
06/04/2020;773
07/04/2020;739
08/04/2020;842
09/04/2020;930
10/04/2020;1186
11/04/2020;798
12/04/2020;397
13/04/2020;642
14/04/2020;1025
15/04/2020;1167
16/04/2020;1176
17/04/2020;1215
18/04/2020;984
19/04/2020;667
20/04/2020;1469
21/04/2020;1522
22/04/2020;1349
23/04/2020;1240
24/04/2020;1438
25/04/2020;647
26/04/2020;524
27/04/2020;1002
28/04/2020;978
29/04/2020;750
30/04/2020;832
01/05/2020;805
02/05/2020;1001
03/05/2020;570
04/05/2020;1145
05/05/2020;1183
06/05/2020;1157
07/05/2020;1105
08/05/2020;942
09/05/2020;770
10/05/2020;549
11/05/2020;1084
12/05/2020;1206
13/05/2020;1035
14/05/2020;913
15/05/2020;936
16/05/2020;964
17/05/2020;667
18/05/2020;1234
19/05/2020;980
20/05/2020;1044
21/05/2020;990
22/05/2020;895
23/05/2020;712
24/05/2020;481
25/05/2020;1106
26/05/2020;1163
27/05/2020;1039
28/05/2020;879
29/05/2020;890
30/05/2020;756
31/05/2020;300
01/06/2020;960
02/06/2020;479
03/06/2020;1133
04/06/2020;854
05/06/2020;999
06/06/2020;857
07/06/2020;373
08/06/2020;1425
09/06/2020;1325
10/06/2020;1459
11/06/2020;1378
12/06/2020;1460
13/06/2020;1265
14/06/2020;329
15/06/2020;1422
16/06/2020;1666
17/06/2020;1311
18/06/2020;1451
19/06/2020;1807
20/06/2020;1160
