Area statistica,Nome Quartiere,Indice potenziale fragilità demografica,Indice potenziale fragilità sociale,Indice potenziale fragilità economica,Indice sintetico potenziale fragilità
Bargellino,Borgo Panigale - Reno,0.0,0.0,0.0,0.0
Borgo Centro,Borgo Panigale - Reno,101.172741133,101.009750472,99.3664317139,100.565652043
Via Ferrarese,Navile,94.4179248167,103.250889729,107.346809024,101.829776044
San Savino,Navile,104.312602375,96.8337035623,97.930900042,99.4065321501
Croce Coperta,Navile,99.2932648564,97.8851456933,98.8312922389,98.5914254059
Mulino del Gomito,Navile,85.5860464626,107.553666543,129.193421588,107.455307033
La Dozza,Navile,98.7814362189,93.0195760742,85.8027139837,92.5830754905
Tiro A Segno,Navile,96.8043668891,100.799438445,105.061606301,100.879567335
Pescarola,Navile,101.764701968,96.7769406386,107.754545588,101.566550522
Marconi-1,Porto - Saragozza,96.2618812116,100.931701108,98.0912699393,98.6786257884
Scalo Ravone,Porto - Saragozza,0.0,0.0,0.0,0.0
Zanardi,Porto - Saragozza,102.146462839,104.306630464,112.73171313,106.186104976
Villaggio della Barca,Borgo Panigale - Reno,106.84793591,100.987008986,112.216101705,106.114014879
Battindarno,Borgo Panigale - Reno,107.77851656,97.8088218155,96.5013417705,100.407486225
Cadriano-Calamosco,San Donato - San Vitale,89.8370201951,100.914271448,91.29294318,94.7046975916
Michelino,San Donato - San Vitale,102.997391186,101.801681954,106.184495279,103.475238721
Via Mondo,San Donato - San Vitale,104.925212979,103.34382133,109.444538704,105.648454037
Galvani-1,Santo Stefano,99.6114820861,98.6217757885,95.6063832046,98.0140699026
Galvani-2,Santo Stefano,99.7809574849,99.8810248662,102.021089967,100.493024182
Giardini Margherita,Santo Stefano,0.0,0.0,0.0,0.0
Mezzofanti,Santo Stefano,103.590440009,96.5775195103,92.1599889614,97.3561364954
Cirenaica,San Donato - San Vitale,99.1842321011,103.60455524,111.993051074,104.795007049
Mengoli,San Donato - San Vitale,103.814634307,100.03858817,97.9849092257,100.555298328
Guelfa,San Donato - San Vitale,97.7519322848,101.470129627,101.922006069,100.490233357
Ravone,Porto - Saragozza,102.382457265,93.4318749708,88.3317873426,94.5870233707
Malpighi-1,Porto - Saragozza,99.2048570022,101.518897269,97.6638765738,99.6681789805
Bitone,Savena,102.772347943,102.341766522,99.8050581755,101.709928444
Ospedale Bellaria,Savena,0.0,0.0,0.0,0.0
Ponte Savena-La Bastia,Savena,110.848119023,99.2574530366,97.3871678953,102.17356729
Lavino di Mezzo,Borgo Panigale - Reno,87.812676253,99.5650023217,104.651942636,97.5653865954
Via del Vivaio,Borgo Panigale - Reno,90.4127088957,95.9034452709,103.104090716,96.416417992
Aeroporto,Borgo Panigale - Reno,81.6827786947,96.6808214297,94.5067286294,91.5291807691
Triumvirato-Pietra,Borgo Panigale - Reno,98.1719186546,100.209603001,98.7449476166,99.1589010818
Caserme Rosse-Manifattura,Navile,108.999426351,98.9519407298,107.793801638,104.618744689
CNR,Navile,0.0,0.0,0.0,0.0
Piazza dell'Unita',Navile,100.830369482,103.646443393,116.272093632,106.589316291
Laghetti del Rosario,Navile,95.8459450644,95.9623917634,99.9850364922,97.1342511723
La Noce,Navile,95.1692110747,93.6926455799,97.7465718801,95.3517931184
Lazzaretto,Navile,73.8127651287,99.2484759465,97.9759312674,91.2359992974
Marconi-2,Porto - Saragozza,100.960306619,100.804579563,98.375789736,100.122660732
Canale di Reno,Borgo Panigale - Reno,108.070666419,95.1417640751,91.5001724317,97.9279572851
Fiera,San Donato - San Vitale,0.0,0.0,0.0,0.0
Scalo Merci San Donato,San Donato - San Vitale,0.0,0.0,0.0,0.0
Via del Lavoro,San Donato - San Vitale,102.645084276,101.930433572,111.557251093,105.03287404
Paderno,Santo Stefano,98.3830470975,95.3670735129,87.5087865432,93.9143794974
Siepelunga,Santo Stefano,105.875390731,94.9997613408,87.3684733424,95.9730637585
Croce del Biacco,San Donato - San Vitale,94.3781344322,98.2034671505,109.272771468,100.37665863
Stradelli Guelfi,San Donato - San Vitale,90.3879689905,88.9818668255,88.1909953902,89.1664360444
